sigla,uf,contratos_de_tecnologia,desenhos_industriais,indicacoes_geograficas,marcas,patentes,programas_de_computador,topografias_de_circuitos_integrados,total_geral
DF,Distrito Federal,8,19,0,3138,122,76,0,3363
GO,Goias,7,20,0,3867,130,23,0,4047
MT,Mato Grosso,0,3,0,1543,47,11,0,1604
MS,Mato Grosso do Sul,0,9,0,1249,51,15,0,1324
AL,Alagoas,0,3,0,632,40,9,0,684
BA,Bahia,18,33,0,3606,152,36,0,3845
CE,Ceara,1,198,0,2992,134,25,0,3350
MA,Maranhao,0,2,0,502,57,21,0,582
PB,Paraiba,0,11,0,929,74,12,0,1026
PE,Pernambuco,5,15,1,2826,170,56,0,3073
PI,Piaui,0,1,0,336,25,12,0,374
RN,Rio Grande do Norte,1,0,0,890,55,22,0,968
SE,Sergipe,4,7,0,322,28,16,0,377
AC,Acre,0,0,0,86,3,0,0,89
AP,Amapa,0,0,0,84,2,2,0,88
AM,Amazonas,54,11,1,657,30,18,0,771
PA,Para,1,19,0,689,42,14,0,765
RO,Rondonia,0,2,0,314,28,1,0,345
RR,Roraima,0,0,0,83,0,0,0,83
TO,Tocantins,0,2,0,244,13,4,0,263
ES,Espirito Santo,6,25,0,2073,178,20,1,2303
MG,Minas Gerais,75,277,1,11786,711,180,0,13030
RJ,Rio de Janeiro,120,117,0,13056,807,169,0,14269
SP,Sao Paulo,397,1291,0,48674,2431,604,1,53398
PR,Parana,28,340,0,10751,670,92,2,11883
RS,Rio Grande do Sul,31,382,0,7883,753,100,5,9154
SC,Santa Catarina,18,348,1,7557,528,72,0,8524
